                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7625,                0.49696,                 1.7041,                0.85886,                0.69968,                0.79529,                0.46037,                 1.4524,                0.29978,                 1.5291,               0.006535,               0.006535,               0.006535
                     37,                 1.7587,                0.49818,                 1.7128,                 0.8538,                0.71222,                0.80045,                0.46257,                 1.4616,                0.29828,                 1.5329,               0.006436,               0.006436,               0.006436
                     38,                 1.7521,                0.49359,                 1.6999,                0.84808,                0.70385,                0.79491,                0.46144,                 1.4669,                0.29756,                 1.5305,               0.006337,               0.006337,               0.006337
                     39,                 1.7469,                0.48612,                 1.6931,                0.85676,                0.70774,                0.79644,                0.45919,                 1.4713,                0.29534,                 1.5314,               0.006238,               0.006238,               0.006238
                     40,                 1.7363,                0.48264,                 1.6882,                0.85547,                0.71354,                0.80339,                0.46462,                 1.4485,                0.29148,                 1.5222,               0.006139,               0.006139,               0.006139
                     41,                 1.7485,                0.48327,                 1.6913,                0.86649,                0.70278,                0.80353,                0.46701,                 1.4416,                0.28879,                 1.5172,                0.00604,                0.00604,                0.00604
                     42,                 1.7523,                0.49009,                  1.692,                 0.8602,                0.70752,                0.80128,                 0.4626,                 1.4639,                0.28506,                 1.5186,               0.005941,               0.005941,               0.005941
                     43,                 1.7379,                0.48187,                 1.6915,                 0.8622,                0.70729,                0.80412,                0.46572,                 1.4572,                0.28073,                 1.5195,               0.005842,               0.005842,               0.005842
                     44,                 1.7315,                0.47643,                 1.6772,                0.86014,                0.71049,                0.80273,                0.46518,                 1.4563,                0.28155,                 1.5217,               0.005743,               0.005743,               0.005743
                     45,                 1.7021,                  0.465,                 1.6638,                0.86604,                0.70593,                0.80164,                 0.4644,                 1.4486,                 0.2791,                 1.5126,               0.005644,               0.005644,               0.005644
                     46,                 1.7235,                 0.4727,                 1.6735,                0.86683,                0.71016,                0.80634,                0.46745,                 1.4531,                0.27439,                 1.5181,               0.005545,               0.005545,               0.005545
                     47,                  1.713,                0.46831,                 1.6697,                0.86254,                0.71562,                0.80638,                 0.4669,                 1.4565,                0.27623,                 1.5202,               0.005446,               0.005446,               0.005446
                     48,                 1.7148,                0.46509,                 1.6672,                0.85885,                0.71729,                 0.8072,                 0.4685,                 1.4477,                0.27736,                  1.512,               0.005347,               0.005347,               0.005347
                     49,                 1.7124,                0.46514,                  1.662,                0.86182,                 0.7129,                0.80802,                0.46997,                  1.438,                0.27245,                 1.5099,               0.005248,               0.005248,               0.005248
                     50,                 1.6994,                0.45935,                 1.6572,                0.86603,                0.71637,                0.80882,                0.47385,                 1.4218,                0.27073,                  1.499,               0.005149,               0.005149,               0.005149
                     51,                 1.7088,                0.46256,                 1.6555,                0.86353,                0.71381,                0.80871,                0.47033,                  1.434,                0.26653,                 1.4988,                0.00505,                0.00505,                0.00505
                     52,                 1.6948,                0.45789,                  1.647,                0.86442,                0.71897,                0.81008,                0.47367,                 1.4273,                0.26705,                 1.4946,               0.004951,               0.004951,               0.004951
